American Amber & Pale Ale
Ahtanum  	4-6.3%  	Amarillo, Cascade  	Floral, citrus, sharp, and piney.
Amarillo 	8-9% 	Cascade, Centennial 	Citrusy, flowery.
Apollo 	15-19% 	Zeus 	A high alpha acid varietal known for its disease resistance.
Bravo 	14-17% 	Apollo, Zeus 	No Description
Cascade (U.S.) 	4.5-7% 	Amarillo, Centennial, Columbus 	Pleasant, flowery, spicy, and citrusy. Can have a grapefruit flavor.
Cascade (New Zealand) 	6-8% 	Ahtanum, Cascade, Centennial 	Similar to US Cascade, has floral, citrus grapefruit character.
Centennial 	8-11.5% 	Cascade, Columbus 	Medium with floral and citrus tones.
Chinook 	10-14% 	Columbus, Northern Brewer, Nugget, Target (U.K.) 	Mild to medium-heavy, spicy, piney, and grapefruity.
Cluster 	5.5-8.5% 	Galena 	Medium and quite spicy.
Columbus 	11-16% 	Chinook, Northern Brewer, Nugget, Target (U.K.) 	Pleasant, with pungent aroma.
Galena 	10-14% 	Chinook, Nugget, Pride of Ringwood 	Medium but pleasant hoppiness, citrusy.
Glacier (U.S.) 	5-9% 	Styrian Golding, Fuggle (U.S.), Tettnanger (U.S.), Willamette 	Dual purpose hop with a citrus earthy aroma.
Horizon 	11-14% 	Magnum 	Pleasantly hoppy.
Magnum 	13-15% 	Northern Brewer 	Known for bittering value and quality.
Nelson Sauvin (New Zealand) 	12-14% 		Unique hop with grape-like flavor
Newport 	13-17% 	Galena, Nugget 	Fairly pungent.
Northern Brewer (German) 	7-10% 	Chinook, Northern Brewer (U.S.) 	Medium-strong with some wild tones.
Northern Brewer (U.S.) 	6-10% 	Chinook, Nugget 	Medium-strong with some wild tones.
Northwest Golding 	4-5% 		Known for aromatic properties.
Nugget 	11-14.5% 	Chinook, Columbus, Galena, Target (U.K.) 	Quite heavy and herbal.
Olympic 	11-13% 	Chinook 	Mild to medium, citrusy aroma, spicy.
Pacific Gem (New Zealand) 	13-15% 		Bittering hop with a woody character.
Pacific Jade (New Zealand) 	12-14% 		A "soft" bittering hop with spicy and citrus aroma qualities.
Palisade 	5.5-9.5% 	Cascade (U.S.) 	Some "American" characteristics.
Perle (German) 	6-8.5% 	Northern Brewer, Perle (U.S.) 	Moderately intense, good and hoppy, fruity and a little spicy.
