American Amber & Pale Ale
10th Anniversary Blend WLP010  	L  	White Labs  	Medium  	75-80%  	65-70°  	Blend of WLP001, WLP002, WLP004 & WLP810.
American Ale 1056 	L 	Wyeast 	Low/Med 	73-77% 	60-72° 	Well balanced. Ferments dry, finishes soft.
American Ale BRY 96 	L 	Siebel Inst. 	Medium 	High 	64-72° 	Very clean ale flavor.
American Ale II 1272 	L 	Wyeast 	High 	72-76% 	60-72° 	Slightly nutty, soft, clean and tart finish.
American Ale Yeast Blend WLP060 	L 	White Labs 	Medium 	72-80% 	68-73° 	Blend celebrates the strengths of California ale strains.
California Ale V WLP051 	L 	White Labs 	Med/High 	70-75% 	66-70° 	Produces a fruity, full-bodied beer.
California Ale WLP001 	L 	White Labs 	Medium 	67-74% 	65-70° 	Clean flavors accentuate hops; very versatile.
Canadian/Belgian Style 3864 	L 	Wyeast 	Medium 	75-79% 	65-80° 	Mild phenolics and low ester profile with tart finish.
Coopers Homebrew Yeast 	D 	Coopers 	High 	High 	68-80° 	Clean, round flavor profile.
East Coast Ale WLP008 	L 	White Labs 	Low/Med 	70-75% 	68-73° 	Very clean and low esters.
Fermentis US 56 	D 	Fermentis 	Medium 	77% 	59-75° 	Clean with mild flavor for a wide range of styles.
Muntons Premium Gold 	D 	Muntons 	High 	High 	57-77° 	Clean balanced ale yeast for 100% malt recipies.
Muntons Standard Yeast 	D 	Muntons 	High 	High 	57-77° 	Clean well balanced ale yeast.
Northwest Ale 1332 	L 	Wyeast 	High 	67-71% 	65-75° 	Malty, mildly fruity, good depth and complexity.
Pacific Ale WLP041 	L 	White Labs 	Medium 	65-70% 	65-68° 	A popular ale yeast from the Pacific Northwest.
Ringwood Ale 1187 	L 	Wyeast 	High 	67-71% 	64-74° 	A malty, complex profile that clears well.
Safbrew T-58 	D 	Fermentis 	Low 	75% 	59-75° 	Develops estery and somewhat peppery spiceyness.
San Francisco Lager WLP810 	L 	White Labs 	High 	65-70% 	58-65° 	For "California Common" type beer.
Wyeast Ale Blend 1087 	L 	Wyeast 	High 	71-75% 	64-72° 	A blend of the best strains to provide quick starts.

American Lager
American Lager 2035  	L  	Wyeast  	Medium  	75-80%  	48-58°  	Bold, complex and aromatic; slight diacetyl.
American Lager BRY 118 	L 	Siebel Inst. 	Very High 	Medium 	68-72° 	Produces slightly fruity beer; some residual sugar.
American Lager WLP840 	L 	White Labs 	Medium 	75-80% 	50-55° 	Dry and clean with a very slight apple fruitiness.
California Lager 2112 	L 	Wyeast 	High 	67-71% 	58-68° 	Produces malty, brilliantly clear beers.
Mexican Lager Yeast WLP940 	L 	White Labs 	Medium 	70-78% 	50-55° 	Produces clean lager beer, with a crisp finish.
North American Lager 2272 	L 	Wyeast 	High 	70-76% 	52-58° 	Malty finish, traditional Canadian lagers.

Barleywine and Imperial Stout
10th Anniversary Blend WLP010  	L  	White Labs  	Medium  	75-80%  	65-70°  	Blend of WLP001, WLP002, WLP004 & WLP810.
American Ale 1056 	L 	Wyeast 	Low/Med 	73-77% 	60-72° 	Well balanced. Ferments dry, finishes soft.
American Ale BRY 96 	L 	Siebel Inst. 	Medium 	High 	64-72° 	Very clean ale flavor.
American Ale Yeast Blend WLP060 	L 	White Labs 	Medium 	72-80% 	68-73° 	Blend celebrates the strengths of California ale strains.
